year,city,country,avg_temp
1988,Barcelona,Spain,17.00
1989,Barcelona,Spain,17.43
1990,Barcelona,Spain,17.30
1991,Barcelona,Spain,16.37
1992,Barcelona,Spain,16.35
1993,Barcelona,Spain,16.28
1994,Barcelona,Spain,17.51
1995,Barcelona,Spain,17.33
1996,Barcelona,Spain,16.72
1997,Barcelona,Spain,17.66
1998,Barcelona,Spain,17.15
1999,Barcelona,Spain,17.14
2000,Barcelona,Spain,17.15
2001,Barcelona,Spain,17.27
2002,Barcelona,Spain,17.16
2003,Barcelona,Spain,17.73
2004,Barcelona,Spain,17.12
2005,Barcelona,Spain,16.69
2006,Barcelona,Spain,17.81
2007,Barcelona,Spain,17.24
2008,Barcelona,Spain,16.92
2009,Barcelona,Spain,17.45
2010,Barcelona,Spain,16.51
2011,Barcelona,Spain,17.90
2012,Barcelona,Spain,17.51
2013,Barcelona,Spain,17.00
1824,Barcelona,Venezuela,25.70
1825,Barcelona,Venezuela,26.10
1826,Barcelona,Venezuela,25.78
1827,Barcelona,Venezuela,25.95
1828,Barcelona,Venezuela,25.72
1829,Barcelona,Venezuela,25.56
1830,Barcelona,Venezuela,
1831,Barcelona,Venezuela,
1832,Barcelona,Venezuela,
1833,Barcelona,Venezuela,
1834,Barcelona,Venezuela,
1835,Barcelona,Venezuela,
1836,Barcelona,Venezuela,
1837,Barcelona,Venezuela,
1838,Barcelona,Venezuela,
1839,Barcelona,Venezuela,
1840,Barcelona,Venezuela,
1841,Barcelona,Venezuela,
1842,Barcelona,Venezuela,
1843,Barcelona,Venezuela,
1844,Barcelona,Venezuela,
1845,Barcelona,Venezuela,25.45
1846,Barcelona,Venezuela,25.99
1847,Barcelona,Venezuela,25.43
1848,Barcelona,Venezuela,25.42
1849,Barcelona,Venezuela,25.48
1850,Barcelona,Venezuela,25.53
1851,Barcelona,Venezuela,25.59
1852,Barcelona,Venezuela,25.45
1853,Barcelona,Venezuela,25.63
1854,Barcelona,Venezuela,25.53
1855,Barcelona,Venezuela,25.69
1856,Barcelona,Venezuela,25.80
1857,Barcelona,Venezuela,25.12
1858,Barcelona,Venezuela,25.28
1859,Barcelona,Venezuela,25.32
1860,Barcelona,Venezuela,25.46
1861,Barcelona,Venezuela,25.51
1862,Barcelona,Venezuela,25.35
1863,Barcelona,Venezuela,25.35
1864,Barcelona,Venezuela,25.50
1865,Barcelona,Venezuela,25.58
1866,Barcelona,Venezuela,25.54
1867,Barcelona,Venezuela,25.75
1868,Barcelona,Venezuela,25.77
1869,Barcelona,Venezuela,26.09
1870,Barcelona,Venezuela,25.47
1871,Barcelona,Venezuela,25.69
1872,Barcelona,Venezuela,25.89
1873,Barcelona,Venezuela,25.69
1874,Barcelona,Venezuela,25.58
1875,Barcelona,Venezuela,25.48
1876,Barcelona,Venezuela,25.78
1877,Barcelona,Venezuela,26.33
1878,Barcelona,Venezuela,26.57
1879,Barcelona,Venezuela,25.66
1880,Barcelona,Venezuela,25.14
1881,Barcelona,Venezuela,25.62
1882,Barcelona,Venezuela,25.27
1883,Barcelona,Venezuela,25.31
1884,Barcelona,Venezuela,25.21
1885,Barcelona,Venezuela,25.68
1886,Barcelona,Venezuela,25.31
1887,Barcelona,Venezuela,25.26
1888,Barcelona,Venezuela,25.76
1889,Barcelona,Venezuela,26.12
1890,Barcelona,Venezuela,24.93
1891,Barcelona,Venezuela,25.92
1892,Barcelona,Venezuela,25.56
1893,Barcelona,Venezuela,25.41
1894,Barcelona,Venezuela,25.30
1895,Barcelona,Venezuela,25.55
1896,Barcelona,Venezuela,25.68
1897,Barcelona,Venezuela,25.78
1898,Barcelona,Venezuela,25.40
1899,Barcelona,Venezuela,25.82
1900,Barcelona,Venezuela,26.02
1901,Barcelona,Venezuela,25.90
1902,Barcelona,Venezuela,26.04
1903,Barcelona,Venezuela,26.00
1904,Barcelona,Venezuela,25.42
1905,Barcelona,Venezuela,25.76
1906,Barcelona,Venezuela,25.70
1907,Barcelona,Venezuela,25.51
1908,Barcelona,Venezuela,25.57
1909,Barcelona,Venezuela,25.56
1910,Barcelona,Venezuela,25.64
1911,Barcelona,Venezuela,25.62
1912,Barcelona,Venezuela,25.68
1913,Barcelona,Venezuela,25.39
1914,Barcelona,Venezuela,25.82
1915,Barcelona,Venezuela,26.13
1916,Barcelona,Venezuela,25.60
1917,Barcelona,Venezuela,25.22
1918,Barcelona,Venezuela,25.43
1919,Barcelona,Venezuela,25.93
1920,Barcelona,Venezuela,25.61
1921,Barcelona,Venezuela,25.53
1922,Barcelona,Venezuela,25.58
1923,Barcelona,Venezuela,25.51
1924,Barcelona,Venezuela,25.90
1925,Barcelona,Venezuela,25.75
1926,Barcelona,Venezuela,26.29
1927,Barcelona,Venezuela,25.99
1928,Barcelona,Venezuela,26.03
1929,Barcelona,Venezuela,25.81
1930,Barcelona,Venezuela,25.83
1931,Barcelona,Venezuela,26.35
1932,Barcelona,Venezuela,26.13
1933,Barcelona,Venezuela,25.73
1934,Barcelona,Venezuela,26.01
1935,Barcelona,Venezuela,25.72
1936,Barcelona,Venezuela,25.89
1937,Barcelona,Venezuela,26.14
1938,Barcelona,Venezuela,25.81
1939,Barcelona,Venezuela,25.93
1940,Barcelona,Venezuela,26.59
1941,Barcelona,Venezuela,26.60
1942,Barcelona,Venezuela,26.58
1943,Barcelona,Venezuela,26.11
1944,Barcelona,Venezuela,26.32
1945,Barcelona,Venezuela,25.75
1946,Barcelona,Venezuela,25.75
1947,Barcelona,Venezuela,26.06
1948,Barcelona,Venezuela,26.05
1949,Barcelona,Venezuela,25.94
1950,Barcelona,Venezuela,25.65
1951,Barcelona,Venezuela,26.28
1952,Barcelona,Venezuela,26.54
1953,Barcelona,Venezuela,26.29
1954,Barcelona,Venezuela,25.96
1955,Barcelona,Venezuela,25.91
1956,Barcelona,Venezuela,25.96
1957,Barcelona,Venezuela,26.37
1958,Barcelona,Venezuela,26.80
1959,Barcelona,Venezuela,26.43
1960,Barcelona,Venezuela,26.63
1961,Barcelona,Venezuela,26.36
1962,Barcelona,Venezuela,26.35
1963,Barcelona,Venezuela,26.44
1964,Barcelona,Venezuela,26.16
1965,Barcelona,Venezuela,26.13
1966,Barcelona,Venezuela,26.39
1967,Barcelona,Venezuela,26.04
1968,Barcelona,Venezuela,26.07
1969,Barcelona,Venezuela,26.70
1970,Barcelona,Venezuela,26.31
1971,Barcelona,Venezuela,25.76
1972,Barcelona,Venezuela,26.27
1973,Barcelona,Venezuela,26.43
1974,Barcelona,Venezuela,25.93
1975,Barcelona,Venezuela,26.08
1976,Barcelona,Venezuela,25.96
1977,Barcelona,Venezuela,26.49
1978,Barcelona,Venezuela,26.49
1979,Barcelona,Venezuela,26.58
1980,Barcelona,Venezuela,26.58
1981,Barcelona,Venezuela,26.53
1982,Barcelona,Venezuela,26.15
1983,Barcelona,Venezuela,26.68
